scenario,label,variant,year,plastic_waste_generation_t,plastic_waste_generation_Mt
BAU,Business-as-Usual,CENTRAL,2020,1330384.192,1.3303841920000001
BAU,Business-as-Usual,CENTRAL,2021,1383185.5455,1.3831855455
BAU,Business-as-Usual,CENTRAL,2022,1524464.073,1.524464073
BAU,Business-as-Usual,CENTRAL,2023,1586069.6575,1.5860696575
BAU,Business-as-Usual,CENTRAL,2024,1648842.458,1.648842458
BAU,Business-as-Usual,CENTRAL,2025,1711190.39626,1.7111903962600001
BAU,Business-as-Usual,CENTRAL,2026,1801296.78572,1.80129678572
BAU,Business-as-Usual,CENTRAL,2027,1892865.441,1.892865441
BAU,Business-as-Usual,CENTRAL,2028,1987601.33208,1.9876013320800001
BAU,Business-as-Usual,CENTRAL,2029,2083611.4984,2.0836114984
BAU,Business-as-Usual,CENTRAL,2030,2180768.61004,2.1807686100400003
BAU,Business-as-Usual,CENTRAL,2031,2280745.65174,2.28074565174
BAU,Business-as-Usual,CENTRAL,2032,2381403.28272,2.38140328272
BAU,Business-as-Usual,CENTRAL,2033,2484654.7176,2.4846547176000002
BAU,Business-as-Usual,CENTRAL,2034,2588510.40108,2.58851040108
BAU,Business-as-Usual,CENTRAL,2035,2692799.1336,2.6927991336
BAU,Business-as-Usual,CENTRAL,2036,2799618.38225,2.79961838225
BAU,Business-as-Usual,CENTRAL,2037,2906904.95336,2.90690495336
BAU,Business-as-Usual,CENTRAL,2038,3014634.14532,3.01463414532
BAU,Business-as-Usual,CENTRAL,2039,3124772.26022,3.12477226022
BAU,Business-as-Usual,CENTRAL,2040,3235353.18113,3.23535318113
BAU,Business-as-Usual,CENTRAL,2041,3348679.67718001,3.34867967718001
BAU,Business-as-Usual,CENTRAL,2042,3462727.52882,3.4627275288200003
BAU,Business-as-Usual,CENTRAL,2043,3579433.22039,3.57943322039
BAU,Business-as-Usual,CENTRAL,2044,3698858.779,3.698858779
BAU,Business-as-Usual,LOWER,2020,1330384.192,1.3303841920000001
BAU,Business-as-Usual,LOWER,2021,1383185.5455,1.3831855455
BAU,Business-as-Usual,LOWER,2022,1524464.073,1.524464073
BAU,Business-as-Usual,LOWER,2023,1586069.6575,1.5860696575
BAU,Business-as-Usual,LOWER,2024,1648842.458,1.648842458
BAU,Business-as-Usual,LOWER,2025,1711190.39626,1.7111903962600001
BAU,Business-as-Usual,LOWER,2026,1801296.78572,1.80129678572
BAU,Business-as-Usual,LOWER,2027,1892865.441,1.892865441
BAU,Business-as-Usual,LOWER,2028,1987601.33208,1.9876013320800001
BAU,Business-as-Usual,LOWER,2029,2083611.4984,2.0836114984
BAU,Business-as-Usual,LOWER,2030,2180768.61004,2.1807686100400003
BAU,Business-as-Usual,LOWER,2031,2280745.65174,2.28074565174
BAU,Business-as-Usual,LOWER,2032,2381403.28272,2.38140328272
BAU,Business-as-Usual,LOWER,2033,2484654.7176,2.4846547176000002
BAU,Business-as-Usual,LOWER,2034,2588510.40108,2.58851040108
BAU,Business-as-Usual,LOWER,2035,2692799.1336,2.6927991336
BAU,Business-as-Usual,LOWER,2036,2799618.38225,2.79961838225
BAU,Business-as-Usual,LOWER,2037,2906904.95336,2.90690495336
BAU,Business-as-Usual,LOWER,2038,3014634.14532,3.01463414532
BAU,Business-as-Usual,LOWER,2039,3124772.26022,3.12477226022
BAU,Business-as-Usual,LOWER,2040,3235353.18113,3.23535318113
BAU,Business-as-Usual,LOWER,2041,3348679.67718001,3.34867967718001
BAU,Business-as-Usual,LOWER,2042,3462727.52882,3.4627275288200003
BAU,Business-as-Usual,LOWER,2043,3579433.22039,3.57943322039
BAU,Business-as-Usual,LOWER,2044,3698858.779,3.698858779
BAU,Business-as-Usual,UPPER,2020,1330384.192,1.3303841920000001
BAU,Business-as-Usual,UPPER,2021,1383185.5455,1.3831855455
BAU,Business-as-Usual,UPPER,2022,1524464.073,1.524464073
BAU,Business-as-Usual,UPPER,2023,1586069.6575,1.5860696575
BAU,Business-as-Usual,UPPER,2024,1648842.458,1.648842458
BAU,Business-as-Usual,UPPER,2025,1711190.39626,1.7111903962600001
BAU,Business-as-Usual,UPPER,2026,1801296.78572,1.80129678572
BAU,Business-as-Usual,UPPER,2027,1892865.441,1.892865441
BAU,Business-as-Usual,UPPER,2028,1987601.33208,1.9876013320800001
BAU,Business-as-Usual,UPPER,2029,2083611.4984,2.0836114984
BAU,Business-as-Usual,UPPER,2030,2180768.61004,2.1807686100400003
BAU,Business-as-Usual,UPPER,2031,2280745.65174,2.28074565174
BAU,Business-as-Usual,UPPER,2032,2381403.28272,2.38140328272
BAU,Business-as-Usual,UPPER,2033,2484654.7176,2.4846547176000002
BAU,Business-as-Usual,UPPER,2034,2588510.40108,2.58851040108
BAU,Business-as-Usual,UPPER,2035,2692799.1336,2.6927991336
BAU,Business-as-Usual,UPPER,2036,2799618.38225,2.79961838225
BAU,Business-as-Usual,UPPER,2037,2906904.95336,2.90690495336
BAU,Business-as-Usual,UPPER,2038,3014634.14532,3.01463414532
BAU,Business-as-Usual,UPPER,2039,3124772.26022,3.12477226022
BAU,Business-as-Usual,UPPER,2040,3235353.18113,3.23535318113
BAU,Business-as-Usual,UPPER,2041,3348679.67718001,3.34867967718001
BAU,Business-as-Usual,UPPER,2042,3462727.52882,3.4627275288200003
BAU,Business-as-Usual,UPPER,2043,3579433.22039,3.57943322039
BAU,Business-as-Usual,UPPER,2044,3698858.779,3.698858779
CDS,Collection & Disposal,CENTRAL,2020,1330384.192,1.3303841920000001
CDS,Collection & Disposal,CENTRAL,2021,1383185.5455,1.3831855455
CDS,Collection & Disposal,CENTRAL,2022,1524464.073,1.524464073
CDS,Collection & Disposal,CENTRAL,2023,1586069.6575,1.5860696575
CDS,Collection & Disposal,CENTRAL,2024,1648842.458,1.648842458
CDS,Collection & Disposal,CENTRAL,2025,1711190.39626,1.7111903962600001
CDS,Collection & Disposal,CENTRAL,2026,1801296.78572,1.80129678572
CDS,Collection & Disposal,CENTRAL,2027,1892865.441,1.892865441
CDS,Collection & Disposal,CENTRAL,2028,1987601.33208,1.9876013320800001
CDS,Collection & Disposal,CENTRAL,2029,2083611.4984,2.0836114984
CDS,Collection & Disposal,CENTRAL,2030,2180768.61004,2.1807686100400003
CDS,Collection & Disposal,CENTRAL,2031,2280745.65174,2.28074565174
CDS,Collection & Disposal,CENTRAL,2032,2381403.28272,2.38140328272
CDS,Collection & Disposal,CENTRAL,2033,2484654.7176,2.4846547176000002
CDS,Collection & Disposal,CENTRAL,2034,2588510.40108,2.58851040108
CDS,Collection & Disposal,CENTRAL,2035,2692799.1336,2.6927991336
CDS,Collection & Disposal,CENTRAL,2036,2799618.38225,2.79961838225
CDS,Collection & Disposal,CENTRAL,2037,2906904.95336,2.90690495336
CDS,Collection & Disposal,CENTRAL,2038,3014634.14532,3.01463414532
CDS,Collection & Disposal,CENTRAL,2039,3124772.26022,3.12477226022
CDS,Collection & Disposal,CENTRAL,2040,3235353.18113,3.23535318113
CDS,Collection & Disposal,CENTRAL,2041,3348679.67718001,3.34867967718001
CDS,Collection & Disposal,CENTRAL,2042,3462727.52882,3.4627275288200003
CDS,Collection & Disposal,CENTRAL,2043,3579433.22039,3.57943322039
CDS,Collection & Disposal,CENTRAL,2044,3698858.779,3.698858779
CDS,Collection & Disposal,LOWER,2020,1330384.192,1.3303841920000001
CDS,Collection & Disposal,LOWER,2021,1383185.5455,1.3831855455
CDS,Collection & Disposal,LOWER,2022,1524464.073,1.524464073
CDS,Collection & Disposal,LOWER,2023,1586069.6575,1.5860696575
CDS,Collection & Disposal,LOWER,2024,1648842.458,1.648842458
CDS,Collection & Disposal,LOWER,2025,1711190.39626,1.7111903962600001
CDS,Collection & Disposal,LOWER,2026,1801296.78572,1.80129678572
CDS,Collection & Disposal,LOWER,2027,1892865.441,1.892865441
CDS,Collection & Disposal,LOWER,2028,1987601.33208,1.9876013320800001
CDS,Collection & Disposal,LOWER,2029,2083611.4984,2.0836114984
CDS,Collection & Disposal,LOWER,2030,2180768.61004,2.1807686100400003
CDS,Collection & Disposal,LOWER,2031,2280745.65174,2.28074565174
CDS,Collection & Disposal,LOWER,2032,2381403.28272,2.38140328272
CDS,Collection & Disposal,LOWER,2033,2484654.7176,2.4846547176000002
CDS,Collection & Disposal,LOWER,2034,2588510.40108,2.58851040108
CDS,Collection & Disposal,LOWER,2035,2692799.1336,2.6927991336
CDS,Collection & Disposal,LOWER,2036,2799618.38225,2.79961838225
CDS,Collection & Disposal,LOWER,2037,2906904.95336,2.90690495336
CDS,Collection & Disposal,LOWER,2038,3014634.14532,3.01463414532
CDS,Collection & Disposal,LOWER,2039,3124772.26022,3.12477226022
CDS,Collection & Disposal,LOWER,2040,3235353.18113,3.23535318113
CDS,Collection & Disposal,LOWER,2041,3348679.67718001,3.34867967718001
CDS,Collection & Disposal,LOWER,2042,3462727.52882,3.4627275288200003
CDS,Collection & Disposal,LOWER,2043,3579433.22039,3.57943322039
CDS,Collection & Disposal,LOWER,2044,3698858.779,3.698858779
CDS,Collection & Disposal,UPPER,2020,1330384.192,1.3303841920000001
CDS,Collection & Disposal,UPPER,2021,1383185.5455,1.3831855455
CDS,Collection & Disposal,UPPER,2022,1524464.073,1.524464073
CDS,Collection & Disposal,UPPER,2023,1586069.6575,1.5860696575
CDS,Collection & Disposal,UPPER,2024,1648842.458,1.648842458
CDS,Collection & Disposal,UPPER,2025,1711190.39626,1.7111903962600001
CDS,Collection & Disposal,UPPER,2026,1801296.78572,1.80129678572
CDS,Collection & Disposal,UPPER,2027,1892865.441,1.892865441
CDS,Collection & Disposal,UPPER,2028,1987601.33208,1.9876013320800001
CDS,Collection & Disposal,UPPER,2029,2083611.4984,2.0836114984
CDS,Collection & Disposal,UPPER,2030,2180768.61004,2.1807686100400003
CDS,Collection & Disposal,UPPER,2031,2280745.65174,2.28074565174
CDS,Collection & Disposal,UPPER,2032,2381403.28272,2.38140328272
CDS,Collection & Disposal,UPPER,2033,2484654.7176,2.4846547176000002
CDS,Collection & Disposal,UPPER,2034,2588510.40108,2.58851040108
CDS,Collection & Disposal,UPPER,2035,2692799.1336,2.6927991336
CDS,Collection & Disposal,UPPER,2036,2799618.38225,2.79961838225
CDS,Collection & Disposal,UPPER,2037,2906904.95336,2.90690495336
CDS,Collection & Disposal,UPPER,2038,3014634.14532,3.01463414532
CDS,Collection & Disposal,UPPER,2039,3124772.26022,3.12477226022
CDS,Collection & Disposal,UPPER,2040,3235353.18113,3.23535318113
CDS,Collection & Disposal,UPPER,2041,3348679.67718001,3.34867967718001
CDS,Collection & Disposal,UPPER,2042,3462727.52882,3.4627275288200003
CDS,Collection & Disposal,UPPER,2043,3579433.22039,3.57943322039
CDS,Collection & Disposal,UPPER,2044,3698858.779,3.698858779
RES,Recycling,CENTRAL,2020,1330384.192,1.3303841920000001
RES,Recycling,CENTRAL,2021,1383185.5455,1.3831855455
RES,Recycling,CENTRAL,2022,1524464.073,1.524464073
RES,Recycling,CENTRAL,2023,1586069.6575,1.5860696575
RES,Recycling,CENTRAL,2024,1648842.458,1.648842458
RES,Recycling,CENTRAL,2025,1711190.39626,1.7111903962600001
RES,Recycling,CENTRAL,2026,1801296.78572,1.80129678572
RES,Recycling,CENTRAL,2027,1892865.441,1.892865441
RES,Recycling,CENTRAL,2028,1987601.33208,1.9876013320800001
RES,Recycling,CENTRAL,2029,2083611.4984,2.0836114984
RES,Recycling,CENTRAL,2030,2180768.61004,2.1807686100400003
RES,Recycling,CENTRAL,2031,2280745.65174,2.28074565174
RES,Recycling,CENTRAL,2032,2381403.28272,2.38140328272
RES,Recycling,CENTRAL,2033,2484654.7176,2.4846547176000002
RES,Recycling,CENTRAL,2034,2588510.40108,2.58851040108
RES,Recycling,CENTRAL,2035,2692799.1336,2.6927991336
RES,Recycling,CENTRAL,2036,2799618.38225,2.79961838225
RES,Recycling,CENTRAL,2037,2906904.95336,2.90690495336
RES,Recycling,CENTRAL,2038,3014634.14532,3.01463414532
RES,Recycling,CENTRAL,2039,3124772.26022,3.12477226022
RES,Recycling,CENTRAL,2040,3235353.18113,3.23535318113
RES,Recycling,CENTRAL,2041,3348679.67718001,3.34867967718001
RES,Recycling,CENTRAL,2042,3462727.52882,3.4627275288200003
RES,Recycling,CENTRAL,2043,3579433.22039,3.57943322039
RES,Recycling,CENTRAL,2044,3698858.779,3.698858779
RES,Recycling,LOWER,2020,1330384.192,1.3303841920000001
RES,Recycling,LOWER,2021,1383185.5455,1.3831855455
RES,Recycling,LOWER,2022,1524464.073,1.524464073
RES,Recycling,LOWER,2023,1586069.6575,1.5860696575
RES,Recycling,LOWER,2024,1648842.458,1.648842458
RES,Recycling,LOWER,2025,1711190.39626,1.7111903962600001
RES,Recycling,LOWER,2026,1801296.78572,1.80129678572
RES,Recycling,LOWER,2027,1892865.441,1.892865441
RES,Recycling,LOWER,2028,1987601.33208,1.9876013320800001
RES,Recycling,LOWER,2029,2083611.4984,2.0836114984
RES,Recycling,LOWER,2030,2180768.61004,2.1807686100400003
RES,Recycling,LOWER,2031,2280745.65174,2.28074565174
RES,Recycling,LOWER,2032,2381403.28272,2.38140328272
RES,Recycling,LOWER,2033,2484654.7176,2.4846547176000002
RES,Recycling,LOWER,2034,2588510.40108,2.58851040108
RES,Recycling,LOWER,2035,2692799.1336,2.6927991336
RES,Recycling,LOWER,2036,2799618.38225,2.79961838225
RES,Recycling,LOWER,2037,2906904.95336,2.90690495336
RES,Recycling,LOWER,2038,3014634.14532,3.01463414532
RES,Recycling,LOWER,2039,3124772.26022,3.12477226022
RES,Recycling,LOWER,2040,3235353.18113,3.23535318113
RES,Recycling,LOWER,2041,3348679.67718001,3.34867967718001
RES,Recycling,LOWER,2042,3462727.52882,3.4627275288200003
RES,Recycling,LOWER,2043,3579433.22039,3.57943322039
RES,Recycling,LOWER,2044,3698858.779,3.698858779
RES,Recycling,UPPER,2020,1330384.192,1.3303841920000001
RES,Recycling,UPPER,2021,1383185.5455,1.3831855455
RES,Recycling,UPPER,2022,1524464.073,1.524464073
RES,Recycling,UPPER,2023,1586069.6575,1.5860696575
RES,Recycling,UPPER,2024,1648842.458,1.648842458
RES,Recycling,UPPER,2025,1711190.39626,1.7111903962600001
RES,Recycling,UPPER,2026,1801296.78572,1.80129678572
RES,Recycling,UPPER,2027,1892865.441,1.892865441
RES,Recycling,UPPER,2028,1987601.33208,1.9876013320800001
RES,Recycling,UPPER,2029,2083611.4984,2.0836114984
RES,Recycling,UPPER,2030,2180768.61004,2.1807686100400003
RES,Recycling,UPPER,2031,2280745.65174,2.28074565174
RES,Recycling,UPPER,2032,2381403.28272,2.38140328272
RES,Recycling,UPPER,2033,2484654.7176,2.4846547176000002
RES,Recycling,UPPER,2034,2588510.40108,2.58851040108
RES,Recycling,UPPER,2035,2692799.1336,2.6927991336
RES,Recycling,UPPER,2036,2799618.38225,2.79961838225
RES,Recycling,UPPER,2037,2906904.95336,2.90690495336
RES,Recycling,UPPER,2038,3014634.14532,3.01463414532
RES,Recycling,UPPER,2039,3124772.26022,3.12477226022
RES,Recycling,UPPER,2040,3235353.18113,3.23535318113
RES,Recycling,UPPER,2041,3348679.67718001,3.34867967718001
RES,Recycling,UPPER,2042,3462727.52882,3.4627275288200003
RES,Recycling,UPPER,2043,3579433.22039,3.57943322039
RES,Recycling,UPPER,2044,3698858.779,3.698858779
RSS,Reduce & Substitute,CENTRAL,2020,1330384.192,1.3303841920000001
RSS,Reduce & Substitute,CENTRAL,2021,1383185.5455,1.3831855455
RSS,Reduce & Substitute,CENTRAL,2022,1524464.073,1.524464073
RSS,Reduce & Substitute,CENTRAL,2023,1586069.6575,1.5860696575
RSS,Reduce & Substitute,CENTRAL,2024,1648842.458,1.648842458
RSS,Reduce & Substitute,CENTRAL,2025,1678208.71607794,1.67820871607794
RSS,Reduce & Substitute,CENTRAL,2026,1731813.18810283,1.73181318810283
RSS,Reduce & Substitute,CENTRAL,2027,1783359.66702055,1.78335966702055
RSS,Reduce & Substitute,CENTRAL,2028,1834148.21588961,1.8341482158896099
RSS,Reduce & Substitute,CENTRAL,2029,1882548.71738664,1.88254871738664
RSS,Reduce & Substitute,CENTRAL,2030,1928150.07532046,1.92815007532046
RSS,Reduce & Substitute,CENTRAL,2031,1972403.82095609,1.97240382095609
RSS,Reduce & Substitute,CENTRAL,2032,2013449.86195784,2.01344986195784
RSS,Reduce & Substitute,CENTRAL,2033,2052464.90429729,2.05246490429729
RSS,Reduce & Substitute,CENTRAL,2034,2088255.68783198,2.08825568783198
RSS,Reduce & Substitute,CENTRAL,2035,2097591.16344707,2.09759116344707
RSS,Reduce & Substitute,CENTRAL,2036,2103090.15830369,2.10309015830369
RSS,Reduce & Substitute,CENTRAL,2037,2103115.14595932,2.10311514595932
RSS,Reduce & Substitute,CENTRAL,2038,2097312.93732934,2.09731293732934
RSS,Reduce & Substitute,CENTRAL,2039,2087166.19842755,2.0871661984275502
RSS,Reduce & Substitute,CENTRAL,2040,2070975.21233197,2.07097521233197
RSS,Reduce & Substitute,CENTRAL,2041,2050201.42593605,2.05020142593605
RSS,Reduce & Substitute,CENTRAL,2042,2023851.86075257,2.02385186075257
RSS,Reduce & Substitute,CENTRAL,2043,1992380.21304081,1.9923802130408101
RSS,Reduce & Substitute,CENTRAL,2044,1955758.6400613,1.9557586400613
RSS,Reduce & Substitute,LOWER,2020,1330384.192,1.3303841920000001
RSS,Reduce & Substitute,LOWER,2021,1383185.5455,1.3831855455
RSS,Reduce & Substitute,LOWER,2022,1524464.073,1.524464073
RSS,Reduce & Substitute,LOWER,2023,1586069.6575,1.5860696575
RSS,Reduce & Substitute,LOWER,2024,1648842.458,1.648842458
RSS,Reduce & Substitute,LOWER,2025,1678208.71607794,1.67820871607794
RSS,Reduce & Substitute,LOWER,2026,1731813.18810283,1.73181318810283
RSS,Reduce & Substitute,LOWER,2027,1783359.66702055,1.78335966702055
RSS,Reduce & Substitute,LOWER,2028,1834148.21588961,1.8341482158896099
RSS,Reduce & Substitute,LOWER,2029,1882548.71738664,1.88254871738664
RSS,Reduce & Substitute,LOWER,2030,1928150.07532046,1.92815007532046
RSS,Reduce & Substitute,LOWER,2031,1972403.82095609,1.97240382095609
RSS,Reduce & Substitute,LOWER,2032,2013449.86195784,2.01344986195784
RSS,Reduce & Substitute,LOWER,2033,2052464.90429729,2.05246490429729
RSS,Reduce & Substitute,LOWER,2034,2088255.68783198,2.08825568783198
RSS,Reduce & Substitute,LOWER,2035,2097591.16344707,2.09759116344707
RSS,Reduce & Substitute,LOWER,2036,2103090.15830369,2.10309015830369
RSS,Reduce & Substitute,LOWER,2037,2103115.14595932,2.10311514595932
RSS,Reduce & Substitute,LOWER,2038,2097312.93732934,2.09731293732934
RSS,Reduce & Substitute,LOWER,2039,2087166.19842755,2.0871661984275502
RSS,Reduce & Substitute,LOWER,2040,2070975.21233197,2.07097521233197
RSS,Reduce & Substitute,LOWER,2041,2050201.42593605,2.05020142593605
RSS,Reduce & Substitute,LOWER,2042,2023851.86075257,2.02385186075257
RSS,Reduce & Substitute,LOWER,2043,1992380.21304081,1.9923802130408101
RSS,Reduce & Substitute,LOWER,2044,1955758.6400613,1.9557586400613
RSS,Reduce & Substitute,UPPER,2020,1330384.192,1.3303841920000001
RSS,Reduce & Substitute,UPPER,2021,1383185.5455,1.3831855455
RSS,Reduce & Substitute,UPPER,2022,1524464.073,1.524464073
RSS,Reduce & Substitute,UPPER,2023,1586069.6575,1.5860696575
RSS,Reduce & Substitute,UPPER,2024,1648842.458,1.648842458
RSS,Reduce & Substitute,UPPER,2025,1678208.71607794,1.67820871607794
RSS,Reduce & Substitute,UPPER,2026,1731813.18810283,1.73181318810283
RSS,Reduce & Substitute,UPPER,2027,1783359.66702055,1.78335966702055
RSS,Reduce & Substitute,UPPER,2028,1834148.21588961,1.8341482158896099
RSS,Reduce & Substitute,UPPER,2029,1882548.71738664,1.88254871738664
RSS,Reduce & Substitute,UPPER,2030,1928150.07532046,1.92815007532046
RSS,Reduce & Substitute,UPPER,2031,1972403.82095609,1.97240382095609
RSS,Reduce & Substitute,UPPER,2032,2013449.86195784,2.01344986195784
RSS,Reduce & Substitute,UPPER,2033,2052464.90429729,2.05246490429729
RSS,Reduce & Substitute,UPPER,2034,2088255.68783198,2.08825568783198
RSS,Reduce & Substitute,UPPER,2035,2097591.16344707,2.09759116344707
RSS,Reduce & Substitute,UPPER,2036,2103090.15830369,2.10309015830369
RSS,Reduce & Substitute,UPPER,2037,2103115.14595932,2.10311514595932
RSS,Reduce & Substitute,UPPER,2038,2097312.93732934,2.09731293732934
RSS,Reduce & Substitute,UPPER,2039,2087166.19842755,2.0871661984275502
RSS,Reduce & Substitute,UPPER,2040,2070975.21233197,2.07097521233197
RSS,Reduce & Substitute,UPPER,2041,2050201.42593605,2.05020142593605
RSS,Reduce & Substitute,UPPER,2042,2023851.86075257,2.02385186075257
RSS,Reduce & Substitute,UPPER,2043,1992380.21304081,1.9923802130408101
RSS,Reduce & Substitute,UPPER,2044,1955758.6400613,1.9557586400613
SCS,System Change,CENTRAL,2020,1330384.192,1.3303841920000001
SCS,System Change,CENTRAL,2021,1383185.5455,1.3831855455
SCS,System Change,CENTRAL,2022,1524464.073,1.524464073
SCS,System Change,CENTRAL,2023,1586069.6575,1.5860696575
SCS,System Change,CENTRAL,2024,1648842.458,1.648842458
SCS,System Change,CENTRAL,2025,1678208.71607794,1.67820871607794
SCS,System Change,CENTRAL,2026,1731813.18810283,1.73181318810283
SCS,System Change,CENTRAL,2027,1783359.66702055,1.78335966702055
SCS,System Change,CENTRAL,2028,1834148.21588961,1.8341482158896099
SCS,System Change,CENTRAL,2029,1882548.71738664,1.88254871738664
SCS,System Change,CENTRAL,2030,1928150.07532046,1.92815007532046
SCS,System Change,CENTRAL,2031,1972403.82095609,1.97240382095609
SCS,System Change,CENTRAL,2032,2013449.86195784,2.01344986195784
SCS,System Change,CENTRAL,2033,2052464.90429729,2.05246490429729
SCS,System Change,CENTRAL,2034,2088255.68783199,2.08825568783199
SCS,System Change,CENTRAL,2035,2097591.16344707,2.09759116344707
SCS,System Change,CENTRAL,2036,2103090.15830369,2.10309015830369
SCS,System Change,CENTRAL,2037,2103115.14595932,2.10311514595932
SCS,System Change,CENTRAL,2038,2097312.93732934,2.09731293732934
SCS,System Change,CENTRAL,2039,2087166.19842755,2.0871661984275502
SCS,System Change,CENTRAL,2040,2070975.21233197,2.07097521233197
SCS,System Change,CENTRAL,2041,2050201.42593605,2.05020142593605
SCS,System Change,CENTRAL,2042,2023851.86075257,2.02385186075257
SCS,System Change,CENTRAL,2043,1992380.21304081,1.9923802130408101
SCS,System Change,CENTRAL,2044,1955758.6400613,1.9557586400613
SCS,System Change,LOWER,2020,1330384.192,1.3303841920000001
SCS,System Change,LOWER,2021,1383185.5455,1.3831855455
SCS,System Change,LOWER,2022,1524464.073,1.524464073
SCS,System Change,LOWER,2023,1586069.6575,1.5860696575
SCS,System Change,LOWER,2024,1648842.458,1.648842458
SCS,System Change,LOWER,2025,1678208.71607794,1.67820871607794
SCS,System Change,LOWER,2026,1731813.18810283,1.73181318810283
SCS,System Change,LOWER,2027,1783359.66702055,1.78335966702055
SCS,System Change,LOWER,2028,1834148.21588961,1.8341482158896099
SCS,System Change,LOWER,2029,1882548.71738664,1.88254871738664
SCS,System Change,LOWER,2030,1928150.07532046,1.92815007532046
SCS,System Change,LOWER,2031,1972403.82095609,1.97240382095609
SCS,System Change,LOWER,2032,2013449.86195784,2.01344986195784
SCS,System Change,LOWER,2033,2052464.90429729,2.05246490429729
SCS,System Change,LOWER,2034,2088255.68783199,2.08825568783199
SCS,System Change,LOWER,2035,2097591.16344707,2.09759116344707
SCS,System Change,LOWER,2036,2103090.15830369,2.10309015830369
SCS,System Change,LOWER,2037,2103115.14595932,2.10311514595932
SCS,System Change,LOWER,2038,2097312.93732934,2.09731293732934
SCS,System Change,LOWER,2039,2087166.19842755,2.0871661984275502
SCS,System Change,LOWER,2040,2070975.21233197,2.07097521233197
SCS,System Change,LOWER,2041,2050201.42593605,2.05020142593605
SCS,System Change,LOWER,2042,2023851.86075257,2.02385186075257
SCS,System Change,LOWER,2043,1992380.21304081,1.9923802130408101
SCS,System Change,LOWER,2044,1955758.6400613,1.9557586400613
SCS,System Change,UPPER,2020,1330384.192,1.3303841920000001
SCS,System Change,UPPER,2021,1383185.5455,1.3831855455
SCS,System Change,UPPER,2022,1524464.073,1.524464073
SCS,System Change,UPPER,2023,1586069.6575,1.5860696575
SCS,System Change,UPPER,2024,1648842.458,1.648842458
SCS,System Change,UPPER,2025,1678208.71607794,1.67820871607794
SCS,System Change,UPPER,2026,1731813.18810283,1.73181318810283
SCS,System Change,UPPER,2027,1783359.66702055,1.78335966702055
SCS,System Change,UPPER,2028,1834148.21588961,1.8341482158896099
SCS,System Change,UPPER,2029,1882548.71738664,1.88254871738664
SCS,System Change,UPPER,2030,1928150.07532046,1.92815007532046
SCS,System Change,UPPER,2031,1972403.82095609,1.97240382095609
SCS,System Change,UPPER,2032,2013449.86195784,2.01344986195784
SCS,System Change,UPPER,2033,2052464.90429729,2.05246490429729
SCS,System Change,UPPER,2034,2088255.68783199,2.08825568783199
SCS,System Change,UPPER,2035,2097591.16344707,2.09759116344707
SCS,System Change,UPPER,2036,2103090.15830369,2.10309015830369
SCS,System Change,UPPER,2037,2103115.14595932,2.10311514595932
SCS,System Change,UPPER,2038,2097312.93732934,2.09731293732934
SCS,System Change,UPPER,2039,2087166.19842755,2.0871661984275502
SCS,System Change,UPPER,2040,2070975.21233197,2.07097521233197
SCS,System Change,UPPER,2041,2050201.42593605,2.05020142593605
SCS,System Change,UPPER,2042,2023851.86075257,2.02385186075257
SCS,System Change,UPPER,2043,1992380.21304081,1.9923802130408101
SCS,System Change,UPPER,2044,1955758.6400613,1.9557586400613
