year,variant,BAU,CDS,RES,RSS,SCS
2020,CENTRAL,1.3303841920000001,1.3303841920000001,1.3303841920000001,1.3303841920000001,1.3303841920000001
2020,LOWER,1.3303841920000001,1.3303841920000001,1.3303841920000001,1.3303841920000001,1.3303841920000001
2020,UPPER,1.3303841920000001,1.3303841920000001,1.3303841920000001,1.3303841920000001,1.3303841920000001
2021,CENTRAL,1.3831855455,1.3831855455,1.3831855455,1.3831855455,1.3831855455
2021,LOWER,1.3831855455,1.3831855455,1.3831855455,1.3831855455,1.3831855455
2021,UPPER,1.3831855455,1.3831855455,1.3831855455,1.3831855455,1.3831855455
2022,CENTRAL,1.524464073,1.524464073,1.524464073,1.524464073,1.524464073
2022,LOWER,1.524464073,1.524464073,1.524464073,1.524464073,1.524464073
2022,UPPER,1.524464073,1.524464073,1.524464073,1.524464073,1.524464073
2023,CENTRAL,1.5860696575,1.5860696575,1.5860696575,1.5860696575,1.5860696575
2023,LOWER,1.5860696575,1.5860696575,1.5860696575,1.5860696575,1.5860696575
2023,UPPER,1.5860696575,1.5860696575,1.5860696575,1.5860696575,1.5860696575
2024,CENTRAL,1.648842458,1.648842458,1.648842458,1.648842458,1.648842458
2024,LOWER,1.648842458,1.648842458,1.648842458,1.648842458,1.648842458
2024,UPPER,1.648842458,1.648842458,1.648842458,1.648842458,1.648842458
2025,CENTRAL,1.7111903962600001,1.7111903962600001,1.7111903962600001,1.67820871607794,1.67820871607794
2025,LOWER,1.7111903962600001,1.7111903962600001,1.7111903962600001,1.67820871607794,1.67820871607794
2025,UPPER,1.7111903962600001,1.7111903962600001,1.7111903962600001,1.67820871607794,1.67820871607794
2026,CENTRAL,1.80129678572,1.80129678572,1.80129678572,1.73181318810283,1.73181318810283
2026,LOWER,1.80129678572,1.80129678572,1.80129678572,1.73181318810283,1.73181318810283
2026,UPPER,1.80129678572,1.80129678572,1.80129678572,1.73181318810283,1.73181318810283
2027,CENTRAL,1.892865441,1.892865441,1.892865441,1.78335966702055,1.78335966702055
2027,LOWER,1.892865441,1.892865441,1.892865441,1.78335966702055,1.78335966702055
2027,UPPER,1.892865441,1.892865441,1.892865441,1.78335966702055,1.78335966702055
2028,CENTRAL,1.9876013320800001,1.9876013320800001,1.9876013320800001,1.8341482158896099,1.8341482158896099
2028,LOWER,1.9876013320800001,1.9876013320800001,1.9876013320800001,1.8341482158896099,1.8341482158896099
2028,UPPER,1.9876013320800001,1.9876013320800001,1.9876013320800001,1.8341482158896099,1.8341482158896099
2029,CENTRAL,2.0836114984,2.0836114984,2.0836114984,1.88254871738664,1.88254871738664
2029,LOWER,2.0836114984,2.0836114984,2.0836114984,1.88254871738664,1.88254871738664
2029,UPPER,2.0836114984,2.0836114984,2.0836114984,1.88254871738664,1.88254871738664
2030,CENTRAL,2.1807686100400003,2.1807686100400003,2.1807686100400003,1.92815007532046,1.92815007532046
2030,LOWER,2.1807686100400003,2.1807686100400003,2.1807686100400003,1.92815007532046,1.92815007532046
2030,UPPER,2.1807686100400003,2.1807686100400003,2.1807686100400003,1.92815007532046,1.92815007532046
2031,CENTRAL,2.28074565174,2.28074565174,2.28074565174,1.97240382095609,1.97240382095609
2031,LOWER,2.28074565174,2.28074565174,2.28074565174,1.97240382095609,1.97240382095609
2031,UPPER,2.28074565174,2.28074565174,2.28074565174,1.97240382095609,1.97240382095609
2032,CENTRAL,2.38140328272,2.38140328272,2.38140328272,2.01344986195784,2.01344986195784
2032,LOWER,2.38140328272,2.38140328272,2.38140328272,2.01344986195784,2.01344986195784
2032,UPPER,2.38140328272,2.38140328272,2.38140328272,2.01344986195784,2.01344986195784
2033,CENTRAL,2.4846547176000002,2.4846547176000002,2.4846547176000002,2.05246490429729,2.05246490429729
2033,LOWER,2.4846547176000002,2.4846547176000002,2.4846547176000002,2.05246490429729,2.05246490429729
2033,UPPER,2.4846547176000002,2.4846547176000002,2.4846547176000002,2.05246490429729,2.05246490429729
2034,CENTRAL,2.58851040108,2.58851040108,2.58851040108,2.08825568783198,2.08825568783199
2034,LOWER,2.58851040108,2.58851040108,2.58851040108,2.08825568783198,2.08825568783199
2034,UPPER,2.58851040108,2.58851040108,2.58851040108,2.08825568783198,2.08825568783199
2035,CENTRAL,2.6927991336,2.6927991336,2.6927991336,2.09759116344707,2.09759116344707
2035,LOWER,2.6927991336,2.6927991336,2.6927991336,2.09759116344707,2.09759116344707
2035,UPPER,2.6927991336,2.6927991336,2.6927991336,2.09759116344707,2.09759116344707
2036,CENTRAL,2.79961838225,2.79961838225,2.79961838225,2.10309015830369,2.10309015830369
2036,LOWER,2.79961838225,2.79961838225,2.79961838225,2.10309015830369,2.10309015830369
2036,UPPER,2.79961838225,2.79961838225,2.79961838225,2.10309015830369,2.10309015830369
2037,CENTRAL,2.90690495336,2.90690495336,2.90690495336,2.10311514595932,2.10311514595932
2037,LOWER,2.90690495336,2.90690495336,2.90690495336,2.10311514595932,2.10311514595932
2037,UPPER,2.90690495336,2.90690495336,2.90690495336,2.10311514595932,2.10311514595932
2038,CENTRAL,3.01463414532,3.01463414532,3.01463414532,2.09731293732934,2.09731293732934
2038,LOWER,3.01463414532,3.01463414532,3.01463414532,2.09731293732934,2.09731293732934
2038,UPPER,3.01463414532,3.01463414532,3.01463414532,2.09731293732934,2.09731293732934
2039,CENTRAL,3.12477226022,3.12477226022,3.12477226022,2.0871661984275502,2.0871661984275502
2039,LOWER,3.12477226022,3.12477226022,3.12477226022,2.0871661984275502,2.0871661984275502
2039,UPPER,3.12477226022,3.12477226022,3.12477226022,2.0871661984275502,2.0871661984275502
2040,CENTRAL,3.23535318113,3.23535318113,3.23535318113,2.07097521233197,2.07097521233197
2040,LOWER,3.23535318113,3.23535318113,3.23535318113,2.07097521233197,2.07097521233197
2040,UPPER,3.23535318113,3.23535318113,3.23535318113,2.07097521233197,2.07097521233197
2041,CENTRAL,3.34867967718001,3.34867967718001,3.34867967718001,2.05020142593605,2.05020142593605
2041,LOWER,3.34867967718001,3.34867967718001,3.34867967718001,2.05020142593605,2.05020142593605
2041,UPPER,3.34867967718001,3.34867967718001,3.34867967718001,2.05020142593605,2.05020142593605
2042,CENTRAL,3.4627275288200003,3.4627275288200003,3.4627275288200003,2.02385186075257,2.02385186075257
2042,LOWER,3.4627275288200003,3.4627275288200003,3.4627275288200003,2.02385186075257,2.02385186075257
2042,UPPER,3.4627275288200003,3.4627275288200003,3.4627275288200003,2.02385186075257,2.02385186075257
2043,CENTRAL,3.57943322039,3.57943322039,3.57943322039,1.9923802130408101,1.9923802130408101
2043,LOWER,3.57943322039,3.57943322039,3.57943322039,1.9923802130408101,1.9923802130408101
2043,UPPER,3.57943322039,3.57943322039,3.57943322039,1.9923802130408101,1.9923802130408101
2044,CENTRAL,3.698858779,3.698858779,3.698858779,1.9557586400613,1.9557586400613
2044,LOWER,3.698858779,3.698858779,3.698858779,1.9557586400613,1.9557586400613
2044,UPPER,3.698858779,3.698858779,3.698858779,1.9557586400613,1.9557586400613
