scenario,label,time_yrs,ocean_leakage_stock_t,land_pollution_stock_t,unsanitary_dumpsites_stock_t,surface_store_stock_t,year
BAU,Business-as-Usual,0.45,104674.036592808,25260.161297048,238070.981895175,902.615681401731,2019
BAU,Business-as-Usual,1.5,356586.618009204,88958.0563333416,391529.805495261,889.68751656408,2020
BAU,Business-as-Usual,2.45,605961.404364988,159113.351706258,531630.907153826,926.369805504618,2021
BAU,Business-as-Usual,3.5,907616.532180218,251157.829214151,689082.352056815,917.325704767524,2022
BAU,Business-as-Usual,4.45,1196681.5650154,345387.614392345,829977.521711751,909.844407820759,2023
BAU,Business-as-Usual,5.5,1534086.38874302,461573.840472393,983919.959062427,898.614374205827,2024
BAU,Business-as-Usual,6.45,1857674.4340204,578237.166801607,1122501.52202851,904.03787632255,2025
BAU,Business-as-Usual,7.5,2238963.40694814,721151.377758073,1276398.68520588,909.55968783727,2026
BAU,Business-as-Usual,8.45,2605662.27581896,863228.048419572,1416354.52180543,915.978043869335,2027
BAU,Business-as-Usual,9.5,3035700.77322023,1034719.34782333,1571926.23304425,922.383069795578,2028
BAU,Business-as-Usual,10.45,3447301.30635779,1203013.96971797,1713464.17772281,928.760213966211,2029
BAU,Business-as-Usual,11.5,3927775.83392279,1403856.62096596,1870828.34434358,935.84027628827,2030
BAU,Business-as-Usual,12.45,4385851.02210486,1599085.30041408,2014077.96739232,942.740581764768,2031
BAU,Business-as-Usual,13.5,4918554.44373783,1830085.54654889,2173413.00251001,950.240046645251,2032
BAU,Business-as-Usual,14.45,5424628.46444826,2052934.37471524,2318511.22978488,957.591341203267,2033
BAU,Business-as-Usual,15.5,6010980.44796282,2314726.50534001,2479910.37966907,964.798789737114,2034
BAU,Business-as-Usual,16.45,6566074.5174444,2565643.07810287,2626888.21474856,972.638927728128,2035
BAU,Business-as-Usual,17.5,7207368.44588279,2858782.09904331,2790458.09049186,980.421685241843,2036
BAU,Business-as-Usual,18.45,7812657.00779437,3138253.91557427,2939448.65374814,988.2010614736,2037
BAU,Business-as-Usual,19.5,8509913.31226016,3463138.5556242,3105296.86460645,996.668300450804,2038
BAU,Business-as-Usual,20.45,9166476.2975728,3771585.94157713,3256465.93945693,1005.21323489663,2039
BAU,Business-as-Usual,21.5,9921151.75301168,4128788.52466026,3424872.28393221,1014.58808980034,2040
BAU,Business-as-Usual,22.45,10630398.2662859,4466763.60004241,3578514.59447188,1024.19992892406,2041
BAU,Business-as-Usual,23.5,11444141.5577301,4856927.82980498,3749850.29668271,1034.67213917663,2042
BAU,Business-as-Usual,24.45,12207764.7142528,5225101.69443993,3906366.44193824,1046.02678950493,2043
BAU,Business-as-Usual,25.0,12658526.010476,5443018.66553399,3997494.49075393,1046.02678950493,2044
CDS,Collection & Disposal,0.45,128378.539529313,86478.2424616183,237546.07379612,1007.09174706454,2019
CDS,Collection & Disposal,1.5,435047.379395236,294963.513329723,374886.534527056,1007.24501476026,2020
CDS,Collection & Disposal,2.45,734806.351970583,501867.862171605,501422.353259262,1070.29289853202,2021
CDS,Collection & Disposal,3.5,1093468.53478668,752600.505485384,644983.284001488,1075.86484510382,2022
CDS,Collection & Disposal,4.45,1433855.66847808,993304.067003395,774428.754246505,1082.68092329339,2023
CDS,Collection & Disposal,5.5,1809806.29020457,1252598.38162586,928621.936050798,1139.5082983528,2024
CDS,Collection & Disposal,6.45,2136925.74653841,1472564.42822525,1072083.93998401,1186.67059924705,2025
CDS,Collection & Disposal,7.5,2500835.54108582,1716937.08033066,1232199.36418129,1229.81849851988,2026
CDS,Collection & Disposal,8.45,2831940.48828655,1938512.60449486,1379442.72310414,1266.41172664573,2027
CDS,Collection & Disposal,9.5,3200233.23324078,2184250.40867256,1544285.1850628,1294.11695080145,2028
CDS,Collection & Disposal,10.45,3534807.05542364,2406659.4531298,1695376.26087669,1318.46244011548,2029
CDS,Collection & Disposal,11.5,3903243.50099385,2650549.13678047,1864029.64163512,1337.88741016778,2030
CDS,Collection & Disposal,12.45,4234303.27551983,2868661.87415686,2017908.54227224,1352.63676502519,2031
CDS,Collection & Disposal,13.5,4596290.11675643,3105942.73492466,2188943.43856979,1363.14344739912,2032
CDS,Collection & Disposal,14.45,4919095.61099686,3316333.34714703,2344291.76291391,1369.33413839556,2033
CDS,Collection & Disposal,15.5,5269495.78972513,3542993.64283277,2517014.8749143,1386.6622462074,2034
CDS,Collection & Disposal,16.45,5579961.41759486,3741833.51913613,2674849.03051299,1401.17361799163,2035
CDS,Collection & Disposal,17.5,5914450.0984273,3953616.17447809,2850834.86227772,1416.03715863929,2036
CDS,Collection & Disposal,18.45,6208088.92448404,4136992.9848792,3011525.4248404,1428.93143173093,2037
CDS,Collection & Disposal,19.5,6521142.14383488,4329392.09535418,3190448.36545601,1438.62015868124,2038
CDS,Collection & Disposal,20.45,6792678.91270508,4493199.55131895,3353222.49508554,1444.94074564914,2039
CDS,Collection & Disposal,21.5,7078177.14555074,4661663.33325461,3533692.3098616,1448.04431353489,2040
CDS,Collection & Disposal,22.45,7321923.21851176,4801704.54280471,3697177.59279556,1447.77402198853,2041
CDS,Collection & Disposal,23.5,7573454.75762642,4941496.42079759,3877663.19018408,1444.2319950022,2042
CDS,Collection & Disposal,24.45,7783504.96355231,5053401.69526646,4040469.4865622,1437.39066888217,2043
CDS,Collection & Disposal,25.0,7899368.9468118,5113497.86536384,4134374.47656877,1437.39022776329,2044
RES,Recycling,0.45,136927.917740821,127723.307158517,241217.411413818,1100.25775365088,2019
RES,Recycling,1.5,465738.7756957,440391.81228314,409487.931307374,1086.69025180477,2020
RES,Recycling,2.45,790104.597054067,759074.596563777,563238.954705267,1130.34114325373,2021
RES,Recycling,3.5,1181215.85663455,1153746.98455742,736128.208698051,1121.0102034403,2022
RES,Recycling,4.45,1555032.66396972,1539707.50774681,891039.597231083,1113.70099267172,2023
RES,Recycling,5.5,1971671.37341866,1950676.74392071,1090257.47090974,1540.06930190183,2024
RES,Recycling,6.45,2338013.39687687,2288718.88011368,1291444.90424244,1632.52116648771,2025
RES,Recycling,7.5,2747713.29412361,2660689.7368166,1517192.36297825,1716.69960885451,2026
RES,Recycling,8.45,3122466.80876945,2994282.36190051,1726546.63310748,1795.95891158309,2027
RES,Recycling,9.5,3539872.89999072,3357797.68255015,1963355.32814752,1866.55359668157,2028
RES,Recycling,10.45,3919174.89787907,3680254.5056171,2182856.47454271,1936.63439627105,2029
RES,Recycling,11.5,4338638.87684699,4027942.46744878,2431332.99543496,2004.21759142031,2030
RES,Recycling,12.45,4716994.73607699,4332976.19555441,2661641.02303321,2069.72577524487,2031
RES,Recycling,13.5,5132066.58602449,4657530.38698518,2922095.46567417,2133.80636995697,2032
RES,Recycling,14.45,5503245.65829344,4938051.94339916,3163200.33012215,2196.44652670859,2033
RES,Recycling,15.5,5906436.63464779,5231228.1136511,3435590.02242488,2260.24178928185,2034
RES,Recycling,16.45,6263035.30666125,5479305.62424751,3687545.75497828,2323.20718329933,2035
RES,Recycling,17.5,6647589.7033269,5735893.80580355,3972425.8646711,2392.35562968896,2036
RES,Recycling,18.45,6987698.89204422,5956067.03311835,4237057.13874856,2465.15043015825,2037
RES,Recycling,19.5,7354082.78563407,6187159.39379992,4537536.41015033,2537.88673173833,2038
RES,Recycling,20.45,7675300.47389167,6384198.58776648,4816623.24896226,2610.40335901509,2039
RES,Recycling,21.5,8016844.51698476,6587436.51634781,5132970.39221415,2682.89767523911,2040
RES,Recycling,22.45,8311904.03283905,6757220.74239454,5426310.03788057,2755.20467586021,2041
RES,Recycling,23.5,8620275.38801321,6928033.08412851,5758289.52419691,2827.46712790597,2042
RES,Recycling,24.45,8881372.72946967,7066417.65456727,6065670.5973799,2899.67787575691,2043
RES,Recycling,25.0,9026528.16326372,7141366.37570701,6245481.86941035,2899.6769630447,2044
RSS,Reduce & Substitute,0.45,110669.319673394,18951.0686706365,230306.382747076,1027.55843874323,2019
RSS,Reduce & Substitute,1.5,375868.043631998,66847.1903620261,372817.858084689,1014.8046866317,2020
RSS,Reduce & Substitute,2.45,635976.482208109,120018.728642528,502854.210469133,1053.50065952303,2021
RSS,Reduce & Substitute,3.5,948123.011993916,190153.468797244,648863.746265635,1044.41451527328,2022
RSS,Reduce & Substitute,4.45,1245204.37889327,262232.136770817,779526.182667974,1036.8590351463,2023
RSS,Reduce & Substitute,5.5,1579933.46312185,338671.179858202,943128.626826398,1360.77234049744,2024
RSS,Reduce & Substitute,6.45,1878873.26067074,400888.735733601,1103291.17352361,1390.21264803633,2025
RSS,Reduce & Substitute,7.5,2219319.0897189,473263.253721568,1284423.54014797,1432.7498234142,2026
RSS,Reduce & Substitute,8.45,2536920.05541103,541907.190146246,1453254.48830787,1475.07386768781,2027
RSS,Reduce & Substitute,9.5,2895112.53251056,621204.861533449,1645069.42319143,1522.12974345634,2028
RSS,Reduce & Substitute,10.45,3224320.80031102,695908.852049438,1823227.60509137,1561.37643549532,2029
RSS,Reduce & Substitute,11.5,3597822.72639917,781655.740589895,2025723.05351475,1599.70290842101,2030
RSS,Reduce & Substitute,12.45,3944126.93959421,861990.579101949,2213899.51273828,1635.56483483379,2031
RSS,Reduce & Substitute,13.5,4335905.56766631,953717.931235306,2427477.35216056,1669.85038330203,2032
RSS,Reduce & Substitute,14.45,4698139.6446419,1039232.78767539,2625668.93293549,1701.08221247963,2033
RSS,Reduce & Substitute,15.5,5104699.66912616,1135753.2566763,2849520.6587416,1710.37936335626,2034
RSS,Reduce & Substitute,16.45,5476048.30565315,1224057.08319733,3056512.03329341,1712.58077241064,2035
RSS,Reduce & Substitute,17.5,5889570.94445718,1322529.94707182,3289922.07256973,1706.43744918739,2036
RSS,Reduce & Substitute,18.45,6265183.89954333,1412189.44991413,3504183.83285811,1692.16376606742,2037
RSS,Reduce & Substitute,19.5,6678684.19854279,1511689.99639677,3739688.70916926,1669.19810581061,2038
RSS,Reduce & Substitute,20.45,7049044.91969996,1601893.26345377,3948505.07629817,1638.51274316905,2039
RSS,Reduce & Substitute,21.5,7452907.19963424,1701600.18099646,4173502.72193432,1602.53114470308,2040
RSS,Reduce & Substitute,22.45,7812330.37508026,1791664.21457144,4371081.87782285,1560.48421759041,2041
RSS,Reduce & Substitute,23.5,8201685.7578412,1890870.04816209,4581862.88219318,1512.74806761346,2042
RSS,Reduce & Substitute,24.45,8545791.12041559,1980214.7373093,4764960.75466849,1459.26688694743,2043
RSS,Reduce & Substitute,25.0,8742239.33752279,2031798.71612509,4868393.55756013,1459.26688694743,2044
SCS,System Change,0.45,105279.354361088,83169.0657323421,256755.202994285,936.793971949777,2019
SCS,System Change,1.5,357863.408076092,286433.314337184,441555.259897874,925.184952483082,2020
SCS,System Change,2.45,606349.843255452,492777.070984206,610420.968508448,961.266883925235,2021
SCS,System Change,3.5,905235.146533772,747470.224935055,800250.063271182,953.173957916697,2022
SCS,System Change,4.45,1190292.76998011,995814.249986782,970423.873902629,945.862525774986,2023
SCS,System Change,5.5,1502029.61360062,1261668.89802237,1166670.27088685,1034.01465296624,2024
SCS,System Change,6.45,1768254.77116684,1481839.95474315,1342864.13421025,1058.47923354345,2025
SCS,System Change,7.5,2059844.06215883,1723069.56345709,1535319.38350076,1078.65905913884,2026
SCS,System Change,8.45,2320938.04389311,1938626.74611893,1708639.52186898,1092.64388964556,2027
SCS,System Change,9.5,2605658.05152174,2173016.09047715,1898826.13376125,1099.47366410507,2028
SCS,System Change,10.45,2859015.07057345,2380741.63233371,2069484.7950547,1101.2242994277,2029
SCS,System Change,11.5,3133473.91736552,2604633.40682537,2256001.08959122,1097.98730452109,2030
SCS,System Change,12.45,3376100.35722727,2801315.97590811,2422571.99375462,1090.27870690995,2031
SCS,System Change,13.5,3637110.42993405,3011299.79617139,2603707.37795668,1078.29515759094,2032
SCS,System Change,14.45,3866174.76328001,3193904.50451623,2764588.97744742,1062.24254749847,2033
SCS,System Change,15.5,4110133.49870329,3386163.54018762,2939413.2428384,1054.05240948167,2034
SCS,System Change,16.45,4323011.79908757,3553386.06498541,3096503.05891585,1051.4149903714,2035
SCS,System Change,17.5,4551022.20763279,3734126.69708832,3269743.54069906,1045.4345849976,2036
SCS,System Change,18.45,4750309.33675317,3893677.55775063,3425701.09214045,1036.12227029398,2037
SCS,System Change,19.5,4962390.72987519,4065341.74457184,3596826.38161226,1023.54032249884,2038
SCS,System Change,20.45,5146603.37855915,4216254.6527957,3750062.42591093,1007.32016982119,2039
SCS,System Change,21.5,5341383.24454866,4377960.99534424,3917280.90365064,987.557972677273,2040
SCS,System Change,22.45,5509487.44356291,4519570.866775,4066155.34243325,963.991715485401,2041
SCS,System Change,23.5,5686095.30880932,4670739.43853584,4227654.05441114,936.544792399253,2042
SCS,System Change,24.45,5837522.50913528,4802647.13252636,4370507.30914672,904.507843539557,2043
SCS,System Change,25.0,5922634.03758087,4877496.99645685,4452520.73042714,904.773301591099,2044
